Pairs ( Date & Time        Missing Rate )
2013-09-24 14:10	10.000 %	2013-09-25 14:10	10.000 %	2013-09-26 14:10	10.000 %	
2013-09-24 14:15	 0.000 %	2013-09-25 14:15	 0.000 %	2013-09-26 14:15	 0.000 %	
2013-09-24 14:20	 0.000 %	2013-09-25 14:20	 0.000 %	2013-09-26 14:20	 0.000 %	
2013-09-24 14:25	 0.000 %	2013-09-25 14:25	 0.000 %	2013-09-26 14:25	 0.000 %	
2013-09-24 14:30	 0.000 %	2013-09-25 14:30	 0.000 %	2013-09-26 14:30	 0.000 %	
2013-09-24 14:35	 0.000 %	2013-09-25 14:35	 0.000 %	2013-09-26 14:35	 0.000 %	
2013-09-24 14:40	 0.000 %	2013-09-25 14:40	 0.000 %	2013-09-26 14:40	10.000 %	
2013-09-24 14:45	10.000 %	2013-09-25 14:45	 0.000 %	2013-09-26 14:45	 0.000 %	
2013-09-24 14:50	 0.000 %	2013-09-25 14:50	10.000 %	2013-09-26 14:50	 0.000 %	
2013-09-24 14:55	 0.000 %	2013-09-25 14:55	 0.000 %	2013-09-26 14:55	 0.000 %	
2013-09-24 15:00	 0.000 %	2013-09-25 15:00	 0.000 %	2013-09-26 15:00	 0.000 %	
2013-09-24 15:05	 0.000 %	2013-09-25 15:05	 0.000 %	2013-09-26 15:05	 0.000 %	
2013-09-24 15:10	 0.000 %	2013-09-25 15:10	 0.000 %	2013-09-26 15:10	10.000 %	
2013-09-24 15:15	10.000 %	2013-09-25 15:15	 0.000 %	2013-09-26 15:15	 0.000 %	
2013-09-24 15:20	 0.000 %	2013-09-25 15:20	10.000 %	2013-09-26 15:20	 0.000 %	
2013-09-24 15:25	 0.000 %	2013-09-25 15:25	 0.000 %	2013-09-26 15:25	 0.000 %	
2013-09-24 15:30	 0.000 %	2013-09-25 15:30	 0.000 %	2013-09-26 15:30	 0.000 %	
2013-09-24 15:35	 0.000 %	2013-09-25 15:35	 0.000 %	2013-09-26 15:35	 0.000 %	
2013-09-24 15:40	 0.000 %	2013-09-25 15:40	 0.000 %	2013-09-26 15:40	10.000 %	
2013-09-24 15:45	 0.000 %	2013-09-25 15:45	 0.000 %	2013-09-26 15:45	 0.000 %	
2013-09-24 15:50	10.000 %	2013-09-25 15:50	10.000 %	2013-09-26 15:50	 0.000 %	
2013-09-24 15:55	 0.000 %	2013-09-25 15:55	 0.000 %	2013-09-26 15:55	 0.000 %	
2013-09-24 16:00	 0.000 %	2013-09-25 16:00	 0.000 %	2013-09-26 16:00	 0.000 %	
2013-09-24 16:05	 0.000 %	2013-09-25 16:05	 0.000 %	2013-09-26 16:05	 0.000 %	
2013-09-24 16:10	 0.000 %	2013-09-25 16:10	 0.000 %	2013-09-26 16:10	10.000 %	
2013-09-24 16:15	 0.000 %	2013-09-25 16:15	 0.000 %	2013-09-26 16:15	 0.000 %	
2013-09-24 16:20	 0.000 %	2013-09-25 16:20	10.000 %	2013-09-26 16:20	 0.000 %	
2013-09-24 16:25	10.000 %	2013-09-25 16:25	 0.000 %	2013-09-26 16:25	 0.000 %	
2013-09-24 16:30	 0.000 %	2013-09-25 16:30	 0.000 %	2013-09-26 16:30	 0.000 %	
2013-09-24 16:35	 0.000 %	2013-09-25 16:35	 0.000 %	2013-09-26 16:35	 0.000 %	
2013-09-24 16:40	 0.000 %	2013-09-25 16:40	 0.000 %	2013-09-26 16:40	 0.000 %	
2013-09-24 16:45	 0.000 %	2013-09-25 16:45	 0.000 %	2013-09-26 16:45	10.000 %	
2013-09-24 16:50	 0.000 %	2013-09-25 16:50	 0.000 %	2013-09-26 16:50	 0.000 %	
2013-09-24 16:55	 0.000 %	2013-09-25 16:55	10.000 %	2013-09-26 16:55	 0.000 %	
2013-09-24 17:00	10.000 %	2013-09-25 17:00	 0.000 %	2013-09-26 17:00	 0.000 %	
2013-09-24 17:05	 0.000 %	2013-09-25 17:05	 0.000 %	2013-09-26 17:05	 0.000 %	
2013-09-24 17:10	 0.000 %	2013-09-25 17:10	 0.000 %	2013-09-26 17:10	 0.000 %	
2013-09-24 17:15	 0.000 %	2013-09-25 17:15	 0.000 %	2013-09-26 17:15	 0.000 %	
2013-09-24 17:20	 0.000 %	2013-09-25 17:20	 0.000 %	2013-09-26 17:20	10.000 %	
2013-09-24 17:25	 0.000 %	2013-09-25 17:25	 0.000 %	2013-09-26 17:25	 0.000 %	
